title,authors,editors,tm,type,publisher,isbn,abstract,year,department,pdf_path,external_link,citation,keyword,status,restricted
Vol. 07 Lubi- Lubi ( Ficus pseudopalma),"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Lubi-lubi,0,0
Vol. 08 Pako ( Diplazium esculentum),"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Pako,0,0
Vol. 09 Talinum (Talinum triangulare),"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Talinum,0,0
Vol. 10 Lasona Gulay (Allium cepa L. cv group Aggregatum),"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Lasona Gulay,0,0
"Vol. 11 Langka (Artocarpus heterophyllus), Kamansi (A. camansi) Rimas (A. altilis) Marang (A. odoratissimus) Chipuho (A. treculianus)","Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Langka,0,0
Vol. 12 Ubod (Heart of Palm),"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Ubod,0,0
"Vol. 13 Ubod at Puso ng Saging (Musa * paradisiaca L., M. balbisiana Colla)","Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Ubod at Puso ng Saging,0,0
"Vol. 14 Labong: Bamboo Shoot (Bambusa blumeana Schult. f., B. philippinesis (Gamble) McClure, Gigantochloa atter (Hassk.) Kurz, G. levis (Blanco) Merr.","Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Labong,0,0
Vol. 15 Alugbati (Basella alba L.),"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Alugbati,0,0
"Vol. 16 Bulaklak ng Malunggay (Moringa oleifera Lam.), Katuray (Sesbania grandiflora (L.) Pers.)), Kalabasa (Cucurbita Moschata Duscesne), Kapas Kapas (Telosma procumbens (Blanco) Merr.)), Kakawate (Gliricidia sepium Jacq. Walp)","Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Bulaklak ng Malunggay,0,0
Vol. 17. Talipan (Vigna umbellata (Thunb.)) Ohwi & H. Ohashi)),"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Talipan,0,0
"Vol. 18 Weedy Vegetables: Sapsapon (Crassocephalum crepidioides (Benth.)) S. Moore), Pansit Pansitan (Peperomia pellucida (L.) Roxb.), Kamantulan (Senna tora (L.) Roxb.), Olasiman (Portulaca oleracea L.), Lagiwey (Lactuca indica L.), Erwad (Bidens pilosa L.)","Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Weedy Vegetables; Sapsapon;Pansit-Pansitan;Kamantulan; Olasiman;Lagiwey;Erward,0,0
"Vol. 19 Amaranths: Kulitis (Amaranthus spp.), Lupo (Alternanthera sessilis (L.) R.Br. Ex DC)","Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Amaranths;Kulitis;Lupo,0,0
"Vol. 20 Vegetables for nursing mothers: Malunggay (Moringa oleifera Lam), Papaya (Carica papaya L.), Buko (Cocos nucifera L.), Ubod ng Pugahan (Caryota spp.)","Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Vegetables; Nursing mothers; Malunggay; Papaya;l Buko; Ubod ng Pugahan,0,0
DENR Recommends No.12: Food from the Wilderness,Mercedita A. Polinag,,NP,Book,"Ecosystems Research and Development Bureau Department of Environment and Natural Resources College, Laguna 4031",,"DENR Recommends No. 12 Ð ÒFood from the WildernessÓ is a compilation of known wildfood plants in the Philippines. Specifically, this DENR Recommends series lists 29 species of plants growing in the wild. These wildfood plants could serve as alternative food source. The compiler indicated valuable information about each species such as its scientific name, family name, common name, description, distribution and propagation. The compiler, more importantly, specified how each species is used as food. Photographs are supplied to facilitate the readersÕ identification or recognition of specific wildfood plants.",2003,Department Name,,https://www.balinghasai-farms.info/publications/denr/denr_v12.pdf,"Polinag, M. A. (2003). Food from the wilderness (Vol. 12). Department of Environment and Natural Resources (DENR). https://www.balinghasai-farms.info/publications/denr/denr_v12.pdf",Wild food plants; Edible wild species; Alternative food sources; Philippine flora; Ethnobotany; Plant identification; Native edible plants; Food security; Biodiversity conservation; Non-timber forest products; Sustainable food resources; Indigenous food knowledge,0,0
A Compendium of Indigenous Vegetables of Abra,Mildred B. Adaoag,,NP,Book,Abra State Institute of Sciences and Technology Research Journal,,"This study primarily aimed to compile indigenous vegetables commonly found in Abra. Specifically, it characterized indigenous vegetables in terms of scientific name, morphological structures, growth habits, nutritional contents, and their cultural requirements. It documented the morphology of the vegetable species. Descriptive analysis was applied as a research design for the compendium of the specimens. Sample specimens were brought to UP Diliman Department of Botany for scientific identification. Actual structures were described in the ASSIST Bio lab through the use of microscopes aided by a classification and description key surfed from the web and other library references. Edible structures of each specimen were brought to SLU-INSRU, DOST-Baguio, or UPN Vigan for chemical analysis. Samples of seeds were planted and observed until fruiting stage. Pictures or diagrams of each structure were taken or made for documentation.",2018,Department Name,,https://www.yumpu.com/en/document/read/23317807/abra-state-institute-of-sciences-and-technology-research-journal/19,"Adaoag, M.B. (2018). A Compendium of Indigenous Vegetables of Abra.https://www.yumpu.com/en/document/view/23317807/abra-state-institute-of-sciences-and-technology-research-journal/19#google_vignette","Indigenous Vegetables; Abra province; Species description; Nutritional value, Production management",0,0
Indigenous vegetables used in school feeding project,IA Agdeppa,,NP,Journal,Department of Science and Technology,,"Despite being surrounded by several bodies of water, the Philippines still houses vast land areas for agriculture and forest utilizations. Due to the rich soil, a diversity of indigenous vegetables can be found in most areas of the country. However, the changing food habits and preferences of individuals lead to the underutilization of these indigenous vegetables. According to the 2008 National Nutrition Survey conducted by the Food and Nutrition Research Institute of the Department of Science and Technology (FNRI-DOST), vegetables only comprise 12.8 percent of the total household consumption and only 3.9 percent of this is the consumption of green leafy and yellow vegetables.",2014,Department Name,,,"Agdeppa, I.A. (2014). Indigenous vegetables used in school feeding project. FNRI Digest 31(4):2-4.https://theilocostimes.blogspot.com/2014/10/indigenous-vegetables-used-in-school.html","Indigenous vegetables, household gardens, school gardens, DepEd Order No. 8 Ser of 2007",0,0
"Ethnobotany of ferns and fern allies in Mount Macabol, Manilog District, Davao City, Philippines",Adorico M. Aya-ay,,NP,Book,"University of the Immaculate Conception, Father Selga Street, Davao City, Philippines",1127-1137,"Ethnobotany of ferns and fern allies was conducted in an indigenous community 
at Mt. Macabol, Barangay Salaysay, Marilog District, Davao City, Philippines for five 
inclusive month. The objective of the study was to document the tribal uses of the different 
species of pteridophytes in the area. The gathering of data was done through interview with the chosen members of the community and through the collection of herbarium specimens. 
Seventy-one species of ferns and fern allies were collected. Thirty-seven species (52%) have uses in the tribe. These useful species serve either as food, medicine, ornament, ceremonial materials, or in other forms of uses for the community. The data obtained showed that despite human encroachment, Mt. Macabol remained a home to a good number of ferns and fern allies useful to the residents.",2016,None,,https://serialsjournals.com/abstract/80551_1127-1137.pdf,"Aya-ay, A. M. (2016). Ethnobotany of ferns and fern allies in Mount Macabol, Manilog District, Davao City, Philippines. International Journal of Applied Business and Economic Research, 14(2), 1127–1137. https://serialsjournals.com/abstract/80551_1127-1137.pdf","Ethnobotany, ferns, fern allies, Mount Macabol, pteridophytes",0,0
Exploring the Institutional Market for Fresh Vegetables in the Southern Philippines,"P. J. Batt, J. T. Axalan, L. A. T. Hualda, M. O. Montiflor, S. B. Concepcion",,NP,Conference,"1Curtin University, Perth, Australia; 2University of the Philippines Mindanao Davao, The Philippines",,"Given the many different ways the product may be used, the institutional market for fresh vegetables in the Southern Philippines can be segmented on the basis of the role market intermediaries perform in the supply chain, where they are, what customers they serve, the range of products required, the volume of product required and the quality specifications. Potential market opportunities are identified and the various constraints smallholder farmers face in endeavouring to meet the needs of institutional buyers are highlighted.",,None,,"https://www.academia.edu/116061902/Exploring_the_Institutional_Market_for_Fresh_Vegetables_in_the_Southern_Philippines#:~:text=METHODOLOGY%20The%20objective%20of%20this%20study%20was%20to,opportunities%20to%20differentiate%20the%20product%20in%20the%20market.","Batt, P. J., Lopez, M. T., Axalan, J. T., Hualda, L. A. T., Montiflor, M. O., & Concepcion, S. B. (n.d.). Exploring the institutional market for fresh vegetables in the Southern Philippines. Academia.edu. https://www.academia.edu/116061902/Exploring_the_Institutional_Market_for_Fresh_Vegetables_in_the_Southern_Philippines","Institutional markets, fresh produce, quality standards, buyers, suppliers",0,0
Lead and cadmium contents in Ipomoea aquatica Forsk. grown in Laguna de Bay,"Marieta C. Baysa, Rachelle Rose S. Anuncio, Maryann Louise G. Chiombon, Julius Paul R. Dela Cruz, and Jean Rochelle O. Ramelb",,NP,Book,"1Research Center for Natural Sciences and College of Education, University of Santo Tomas, España, Manila, Philippines; 2College of Science, University of Santo Tomas, España, Manila, Philippines",,"Ipomoea aquatica Forsk. (water spinach) which grows luxuriantly in Laguna de Bay may contain metals that are within the toxic levels for humans. This study was conducted to determine the concentrations of lead (Pb) and cadmium (Cd) in the top, middle, and bottom of the edible portions, and in the different organs of I. aquatica grown in Laguna de Bay. Also, to assess if the Pb and Cd concentrations in the plants are within the safe levels for humans. Pb concentrations in the plants were 0.259 to 8.72 mg/kg DW, with decreasing trend from roots to leaves, and from bottom to top subsections of the upper 36cm from the shoot apex. Water spinach had Cd concentrations which were 0.0058 to 0.0466 mg/kg DW. Pb and Cd concentrations in the edible portions ( leaves and stems) of the upper 36cm of the shoot were far below the maximum tolerable daily intake for man set by World Health Organization (WHO). The bottom of the edible portion of the plant should be removed to minimize Pb intake.",2006,None,,https://www.researchgate.net/publication/267304116_Lead_and_Cadmium_Contents_in_Ipomoea_aquatica_Forsk_Grown_in_Laguna_de_Bay,"Baysa, M. C., Anuncio, R. S. S., Chiombon, M. L. G., Dela Cruz, J. P. R., & Ramelb, J. R. O. (2006). Lead and cadmium contents in Ipomoea aquatica Forsk. grown in Laguna de Bay. Philippine Journal of Science, 135(2), 139–143.","Ipomea aquatica, heavy metal, water spinach, aquatic macrophyte, maximum tolerable daily intake",0,0
"Agrobiodiversity of home gardens in selected marginal upland villages of Inopacan, Leyte, Philippines","Beatriz S. Belonias, Czarina S. Platino and Jessa T. Malanguis",,P,Article,"Department of Biological Sciences, College of Arts and Sciences, Visayas State University, Visca, 6521-A Baybay City, Philippines.",,"Results show that home gardens studied had high species diversity and exhibited a multilayered structure. A total of 171 species in 74 families and 146 genera were documented. The composites (Asteraceae) had the most number of genera and species followed by the orchids (Orchidaceae), legumes (Fabaceae) and aroids (Araceae). More than 70% of the species were exotics which were mostly ornamental plants. Erect herbs were the most common, followed by trees, shrubs, herbaceous vines and epiphytes. Majority of the species were ornamentals followed by fruit trees, medicinal plants, vegetables and spice plants, grown primarily for home use (62%) rather than as source of income. Established and managed by family members who provide free labor, the gardens mostly utilized cost–free planting materials and with no fertilizer or pesticide application.",2014,None,,,"Belonias, B.S., Platino ,C.S., Malanguis, J.T. (2014). Agrobiodiversity of home gardens in selected marginal upland villages of Inopacan, Leyte, Philippines. Annals of Tropical Research 36 [Supplement]:48-69(2014) © VSU, Leyte, Philippines.https://atr.vsu.edu.ph/article/view/249#:~:text=This%20paper%20describes%20the%20agrobiodiversity%20and%20management%20of,home%20garden%20visits%20were%20done%20to%20collect%20data.","Agroecosystem, biodiversity, subsistence farming, backyard garden, medicinal plants",0,0
Indigenous crops and wild plants used as food by the Palawan tribe in Southern Palawan Philippines,"Celestino N. Bernadas, Jr. and Metchecana D. Peralta",,NP,Book,"1College of Agriculture Forestry and Environmental Sciences, Western Philippines University, Aborlan, Palawan, Philippines; 2College of Education, Western Philippines University, Aborlan, Palawan, Philippines",,"Indigenous knowledge system stands the test of time because of its sustainability and applicability. Based on this theoretical construct this qualitative research was conducted in order to identify the indigenous food crops, vegetables and fruits cultivated and foraged by the tribal members in Southern Palawan which could be beneficial for dissemination and utilization. The data were collected through site immersion, indirect participant-observation, informal interviews and triangulations method of validation. The study found out that there are 22 food crops considered to be sources of carbohydrates, 13 of these are cultivated; and nine foraged from the wild. These are classified as grains, tubers, corns and palm (source of natek, starch/flour). Moreover, there are 63 types of wild vegetables and 37 fruit-bearing plants identified. For the cultivated cereal crops, upland rice is indispensable. The Pala’wan tribe is a rice-eating people. Corn and sorghum are also planted sparingly on the field. In addition, tuber and corn crops are considered best alternative to rice. Leafy vegetables, mushrooms and ubod from palms, bamboo and other plants collected from the wild are important vegetable stuffs. Durian, mante, badak and tabo are the common fruits they eat. The Pala’wan tribe has a reservoir of knowledge regarding food sources necessary for survival.",2017,None,,https://uruae.org/siteadmin/upload/UH0516024.pdf,"Bernadas Jr., C. N., & Peralta, M. D. (2017). Indigenous crops and wild plants used as food by the Pala’wan tribe in Southern Palawan, Philippines. Journal of Nature Studies, 16(1), 11–17.","Indigenous food crops, vegetables, fruits, cultivated, collected, Pala’wan tribe",0,0
"The need for premium agri-fisheries for the disaster-affected areas of Leyte, Philippines","Dora Fe H. Bernardo, Oscar B. Zamora and Lucille Elna P. de Guzman",,NP,Journal,"1Institute of Biological Sciences, College of Arts and Sciences, University of the Philippines Los Baños, College, Laguna 4031 Philippines; 2Crop Science Cluster, College of Agriculture, University of the Philippines Los Baños, College, Laguna 4031 Philippines",,"The study was conducted in the fish sanctuary in Tolosa, Leyte from May to August 2011. Actual habitat assessment, focus group discussions (FGD) and key informant interviews (KII) among the stakeholders were conducted. Relevant secondary data were obtained from the local government units and NGOs working in the project site on the impacts of land use, particularly siltation or sedimentation and sea surface temperature on the coral reef ecosystem and their effects on the population of crown-of-thorns (COT) starfish were determined. Using the point intercept method, it was found that coral cover of Hilapad Reef Fish Sanctuary or Marine Protected Area (MPA) decreased from 60% live coral in 2005 to 10% in 2011. Factors that caused the coral degradation or destruction were investigated. The natural factor that caused coral degradationthat caused coral degradation is the Sea Surface Temperature (SST) that SST range from 23-30 ?C. There was no coral bleaching due to El Niño events that occurred in the area since more than 30 ?C is required to cause coral mortality. However, SST of 27-28 ?C during midsummer in 2008 significantly triggers the spawning of Crown-of-Thorns (COT) starfish which is a coral predator. It takes two (2) years for COT to become adult. Based on the KII and FGD, COT outbreak was reported in the same year but the COT population was never counted until 2011 when the study was conducted. Likewise, local fishers in the community affirmed that their catch declined since coral reefs are biologically productive habitat; feeding, spawning, breeding, and nursery grounds for marine flora and fauna. The Hilapad Reef was compared with Cuatro Islas, an isolated MPA in the province that was used as the control. Unlike Hilapad Reef, there was no COT outbreak and coral cover was in better condition in Cuatro Islas. Cuatro Islas has no human settlement and agro-industrial development such as beach resorts, houses, coconut plantation, and oil mill with port. Tolosa is prone to erosion based on the geo-hazard map. Rainfall brings river run-off to the sea. Thus, sedimentation or siltation due to land use change was considered as the anthropogenic factor. Human use of coastal zone has increased the nutrients flowing to the sea, resulting to an increase in plantonic food for COT larvae. The water from the oil mill broiler has pH of 11.8, which is lethal to fish and other marine organisms. Based on the 2011 Fish Visual Census, one fish family was no longer found as compared to the 2009 data. FGD and KII were summarized using SWOT analysis. Within the 18-day sampling, the mean density of the COT gathered in the project site was 256 pieces ha-1 with a mean individual weight of 461 g, a value indicating an outbreak. It was proposed that the Philippine Coastal Management Guidebook be reviewed to include climate change or increasing SST and COT predation as indirect and direct factors, respectively.",2015,None,,https://www.researchgate.net/publication/299369625_The_Need_for_Premium_Agri-fisheries_for_the_Disaster-Affected_Areas_of_Leyte_Philippines,"Bernardo, D. F. H., Zamora, O. B., & de Guzman, L. E. P. (2015). The need for premium agri-fisheries for the disaster-affected areas of Leyte, Philippines. Journal of Developments in Sustainable Agriculture, 10, 76–90.","Rehabilitation and recovery, Super Typhoon Yolanda (Haiyan), sustainable agri-fisheries",0,0
